#,Topic,Question,Option A,Option B,Option C,Option D,Answer,Explanation,Difficulty
1,Bridge Scope,Replacement bridge total length is:,152 ft,162 ft,170 ft,180 ft,B,Proposed replacement bridge (Br. No. 27-0124) is a three-span precast/prestressed slab structure with total length 162 ft.,Easy
2,Construction Method,Planned delivery method for the replacement bridge is:,Cast-in-place staged,Accelerated Bridge Construction (ABC),Incremental launch,Balanced cantilever,B,The replacement bridge will be constructed using the Accelerated Bridge Construction (ABC) technique.,Easy
3,Existing Bridge,Existing 1929 bridge configuration is:,Single-span slab,3-span steel truss middle + RC ends,Concrete box girder,Timber trestle,B,Existing bridge (Br. No. 27-0023) built in 1929 is a three-span structure with steel truss middle span and RC end-spans.,Easy
4,Location,Project is located on:,Route 1 in Marin County,Route 101 in Marin County,Route 1 in Sonoma County,Route 37 in Marin County,A,Contract documents identify Route 1 in Marin County at Point Reyes Station.,Easy
5,Project Limits,Begin construction station (A-line) is shown as:,"Sta ""A"" 10+00","Sta ""A"" 15+45","Sta ""A"" 21+25","Sta ""A"" 29+80",B,"Plans title sheet shows BEGIN CONSTRUCTION at Sta ""A"" 15+45.",Easy
6,Project Limits,End construction station (A-line) is shown as:,"Sta ""A"" 15+45","Sta ""A"" 18+00","Sta ""A"" 21+25","Sta ""A"" 25+20",C,"Plans title sheet shows END CONSTRUCTION at Sta ""A"" 21+25.",Easy
7,Contract Time,Total working days for the contract is:,180,240,300,365,C,Bid Summary lists total number of working days as 300.,Easy
8,Bid Summary,Engineer's Estimate is closest to:,$15.45M,$18.30M,$19.12M,$21.04M,C,Bid Summary shows Engineer's Estimate about $19.12M.,Medium
9,Bid Summary,Low bid (total) is closest to:,$15.45M,$18.30M,$21.04M,$26.50M,B,"Low bid shown as $18,303,333.",Medium
10,Bid Summary,Low bidder listed in the bid summary is:,Golden State Bridge,Myers-Disney JV,Gordon N. Ball,Security Paving,B,Bid Summary lists MYERS-DISNEY JV as low bidder.,Easy
11,Prebid,Addendum 1 made which meeting mandatory?,Weekly progress meeting,Prebid meeting & job site visit,Pre-pour meeting,Utility meeting,B,Addendum 1 adds a Mandatory Prebid Meeting and Job Site Visit.,Easy
12,Prebid,Mandatory prebid meeting date was:,5-Jan-26,15-Jan-26,29-Jan-26,5-Feb-26,B,"Addendum 1 states January 15, 2026.",Easy
13,Prebid,Mandatory prebid meeting time was:,8:00 a.m.,9:00 a.m.,10:00 a.m.,1:00 p.m.,C,Addendum 1 states 10:00 a.m.,Easy
14,Addenda,Addendum 2 added a special notice about:,Traffic detours,Buy America/Build America manufactured products,Pile driving noise waivers,Concrete maturity meters,B,Addendum 2 adds a special notice pointing to Buy America/Build America requirements.,Hard
15,Geotech- South,South-side bedrock depth is about:,35 ft,50 ft,64 ft,97 ft,C,South profile indicates bedrock at about 64 ft (elev ~ -44 ft).,Medium
16,Geotech- North,North-side bedrock depth is about:,64 ft,82 ft,97 ft,140 ft,C,North profile indicates bedrock at about 97 ft (elev ~ -77 ft).,Medium
17,Geology,Bedrock unit described at site is:,Granite,Franciscan Complex mélange (BiMRock),Basalt,Limestone,B,Foundation report describes Franciscan Complex mélange (Block-in-Matrix rock).,Hard
18,Field Datum,"To convert 1929 local datum elevations to NAVD 88, you should:",Subtract ~12.1 ft,Add ~12.1 ft,No conversion needed,Multiply by 1.21,B,Foundation report notes local datum can be converted to NAVD 88 by adding ~12.1 ft.,Medium
19,Boring Program,Which boring was drilled to 140 ft to confirm bedrock conditions?,RW-16-001,RW-18-012,RW-24-001,RW-16-002,C,RW-24-001 (03/28/2024) was drilled to 140 ft adjacent to RW-18-012 to confirm subsurface/bedrock conditions.,Hard
20,Community/Constructability,Why was RW-24-001 drilled after RW-18-012?,To reduce costs,RW-18-012 was terminated short due to community complaints,To avoid groundwater,To change bridge type,B,RW-18-012 stopped ~95 ft due to local complaints; RW-24-001 drilled to planned deeper depth.,Hard
